"key","procedure","control","risk","sample_num"
"ELC-001","取締役会議事録を閲覧し、月次開催実績・出席者・決議事項を確認する。","取締役会は毎月1回開催され、経営成績・重要案件の審議と意思決定を行う。社外取締役3名を含む7名構成。議事録を作成し、監査等委員会へ供覧する。","取締役会による経営監督機能の不十分","12"
"ELC-002","HRシステムから倫理綱領受領確認ログを取得し、全役職員の確認完了を検証する。","倫理綱領を全役職員に周知し、年1回の受領確認書を提出させる。新入社員研修および管理職昇格時研修で説明を実施する。","役職員の倫理意識欠如による不正・違反行為","1"
"ELC-003","職務権限規程R18の原本を閲覧し、承認権限体系・組織構造が定義されていることを確認する。従業員マスタ・SAPロールマトリクスと照合する。","職務権限規程により各階層の承認権限（金額・業務別）を明文化し、定期的に見直す。組織変更時には遅滞なく更新する。","職務権限の曖昧さによる不正・誤謬の発生","25"
"ELC-004","年次リスクアセスメント結果を閲覧し、財務・事業・ITリスクの網羅的評価と対策が記録されていることを確認する。","経営企画部が全社リスクを年1回洗い出し、財務・事業・コンプライアンス等のカテゴリで評価。リスクマップを作成し取締役会へ報告する。","重要リスクの見落としによる対応遅延・損失発生","1"
"ELC-005","全社リスクアセスメント結果から不正リスクファクター（動機・機会・正当化）の評価が含まれていることを確認する。","決算期前に不正リスクファクター（動機・機会・正当化）を検討し、重要拠点・勘定について不正シナリオを評価する。内部監査室と経理部が合同で実施。","財務報告における不正リスクの見落とし","1"
"ELC-006","会社プロファイルの規程体系一覧（R01-R27）を参照し、主要規程が制定・改訂されていることを確認する。","業務関連規程R11-R19を整備し、業務プロセスごとのマニュアルを作成する。規程は最低年1回見直し、改訂履歴を管理する。","業務標準の欠如による不正・誤謬の発生","1"
"ELC-007","SAPロールマトリクスを閲覧し、職務分掌（SoD）違反がないか検証する。PLC-P-002の発注書（不備ケース）を確認する。","発注承認・検収・買掛計上・支払の4プロセスを異なる担当者が行うよう分掌する。SAPのロール設計にSoDルールを組み込み、月次でSoD違反レポートをレビューする。","同一人物による取引の承認・実行・記録が可能な状態","12"
"ELC-008","内部通報受付台帳を閲覧し、通報の受付・調査・完了プロセスが機能していることを確認する。","内部通報窓口（社内・外部弁護士事務所の2ルート）を設置し、全役職員に周知する。通報は総務部長と監査等委員が受領し、調査後の結果を通報者へ報告する。","不正・違反行為の顕在化と是正の遅延","25"
"ELC-009","月次決算ジョブログを閲覧し、期限内に決算処理が完了していることを確認する。","月次決算の速報を翌月第5営業日までに経営会議へ報告する。四半期決算は取締役会・監査等委員会で説明する。","決算情報の伝達遅延による重要事項の見落とし","12"
"ELC-010","年次内部監査計画書を閲覧し、リスクベースの監査テーマ・実施体制が計画されていることを確認する。","内部監査室が年次監査計画に基づき、重要拠点・業務の監査を実施する。発見事項は経営陣および監査等委員会に報告され、是正状況をフォローアップする。","内部統制の独立した検証機能の欠如","1"
"ELC-011","取締役会議事録および内部通報台帳から、監査等委員会への報告が行われていることを確認する。","監査等委員会（社外委員3名）は月1回開催。内部監査・会計監査・法令遵守の状況をレビューし、取締役会へ意見表明する。","経営監督機能の形骸化","12"
"ELC-012","会社プロファイルのIT構成情報およびSOC1レポートから、IT戦略・セキュリティ方針が策定・評価されていることを確認する。","情報セキュリティ基本方針を定め、年1回取締役会で承認。情シス部が年次IT計画を作成し、経営会議で進捗をレビューする。","ITガバナンス不備による情報漏洩・システム障害","1"
"PLC-S-001","SAP VA05受注一覧から25件を系統抽出し、各受注の与信チェックログ・ワークフロー承認履歴・注文書原本を突合する。与信超過案件は営業本部長承認の有無を検証する。","営業担当者が受注登録時、SAPにて顧客コードを入力すると自動的に与信限度額との比較が行われる。与信オーバーの場合はワークフローにより営業本部長（E0021）の個別承認が必須となる。承認記録はSAPに保存される。","権限のない者による受注登録、または与信枠を超過する受注の受理により、売掛金の回収不能リスクが顕在化する。","25"
"PLC-S-002","WMS出荷実績・SAP売上計上仕訳・マッチングバッチログの3点を25件分突合し、出荷と売上計上の金額・日付一致を検証する。例外（未マッチ）ケースの是正経緯を個別ログで確認する。","WMSから出荷実績が連携され、SAP上で出荷実績と売上計上が自動マッチングされる。経理部担当（E0014）が日次で未マッチ明細を確認し、翌営業日までに原因調査・是正を行う。","出荷が完了していない受注の売上を計上する、または出荷を売上計上に反映し忘れることによる売上高・売掛金の誤計上。","25"
"PLC-S-003","12ヶ月分のSAP請求書バッチログを確認し、各月の正常終了を検証する。請求書原本と売上計上額の一致をサンプル確認する。","月次末日にSAPが自動的に全出荷実績を請求書として生成する。経理部主任（E0014）が請求書一覧と売上計上データを突合し、件数・合計金額の一致を確認する。請求書はPDFで顧客へ送付される。","請求書の発行漏れ・発行誤り（宛先・金額）による売掛金の不一致・入金遅延。","12"
"PLC-S-004","銀行FBデータとSAP入金消込履歴を25件分突合し、入金額・消込対象請求書・差額処理の適切性を検証する。","銀行のFBデータをSAPに日次取込。SAPが請求書番号を基に自動消込を試み、マッチしない明細は経理部担当（E0016）が手動消込する。週次で未消込明細の残高確認を行う。","入金の売掛金への誤充当、または一部入金の取扱い誤りにより売掛金残高が不正確となる。","25"
"PLC-S-005","12ヶ月分のSAP FB10N売掛金年齢表を閲覧し、滞留債権（60日超）の認識・分析が各月実施されていることを確認する。","経理部課長（E0012）が月次で売掛金年齢表（30/60/90/120日超）を作成し、60日超の滞留債権について営業部と回収状況をレビュー。経理部長（E0011）が承認する。","長期滞留売掛金の認識遅延による貸倒引当金の過少計上・回収努力の遅延。","12"
"PLC-S-006","期末前後5営業日（41件）のSAP出荷・売上明細を全数検証し、出荷日と売上計上日の期間帰属が適切であることを確認する。","期末日前後5営業日の出荷実績について、経理部長（E0011）が出荷日・売上計上日のレビューを実施。カットオフが適切でない取引は修正仕訳を起票する。","期末近辺の出荷について売上計上の期間帰属を誤り、売上高・売掛金を当期/翌期に誤計上する。","41"
"PLC-S-007","SAP VK12価格変更履歴から25件を抽出し、各変更の稟議書原本（承認経路含む）との整合性を検証する。","価格マスタの新規登録・変更申請は、営業担当がワークフロー（S04）で起票し、営業本部長（E0021）の承認を得る。経理部（E0014）が月次で変更履歴をレビューする。","不正な価格の登録・変更による売上計上金額の誤り。","25"
"PLC-P-001","SAP ME5A購買依頼一覧から25件を系統抽出し、各依頼の起案部門・部門長承認・予算コードを検証する。","各部門の担当者がSAPで購買依頼を起票し、部門長がワークフローで承認する。金額が100万円超の場合は管理本部長の追加承認が必要。","業務に不要な購入・予算外の購入による無駄な支出・架空発注の温床。","25"
"PLC-P-002","SAP ME2N発注一覧から25件を系統抽出し、発注書原本・ワークフロー承認履歴を突合する。各発注の承認者が職務権限規程R18の金額区分に準拠しているか検証する。","発注金額別に承認権限を定める（購買担当：50万円以下 / 課長：500万円以下 / 部長：2,000万円以下 / 管理本部長：1億円以下 / 代表取締役：超過分）。SAPのワークフローで承認ルーティングが自動判定される。","承認権限を超える金額の発注、または権限のない者による発注により、不正・誤った発注が実行される。","25"
"PLC-P-003","SAP MIGO検収一覧から25件を系統抽出し、各検収の報告書原本（品目・数量・品質判定）と発注書を突合する。数量差異がある場合は差異報告書を確認する。","倉庫課担当が納品物を受領すると、SAPで注文書を参照し数量・品目を照合した上で検収入力する。品質保証部（E0041の配下）が抽取検査を実施。数量差異がある場合は検収保留とし、差異報告書を起票する。","検収が行われていない納品の計上、または検収数量・品質の誤り。","25"
"PLC-P-004","SAP MIRO請求書計上から25件を系統抽出し、PO金額・検収金額・請求金額の3点一致（公差内）を検証する。公差超過案件の保留処理を確認する。","SAPが自動的に発注書(PO)・検収伝票(GR)・請求書(IR)の3文書を金額・数量で突合する。差異がある場合は自動的に計上保留となり、経理部担当（E0016）が原因調査を行う。","発注書・検収・請求書の不整合により、架空または誤った買掛金が計上される。","25"
"PLC-P-005","SAP XK01/XK02仕入先マスタ変更履歴から25件を抽出し、各変更の申請書原本（新規登録時は反社チェック・信用調査含む）を検証する。","仕入先マスタの新規登録は、購買部が反社会的勢力チェックおよび信用調査を実施した上で、購買部長（E0031）の承認により登録可能。経理部（E0012）が四半期に変更履歴をレビューする。","架空の仕入先の登録・不正な仕入先への発注。","25"
"PLC-P-006","12ヶ月分のSAP F110支払実行ログを閲覧し、各月の支払バッチが正常実行され、ベンダー別支払明細が適切であることを検証する。","経理部担当（E0016）が月次で支払予定一覧を作成し、経理部長（E0011）が承認する。FBデータ作成時に二重振込チェックが自動で行われる。振込実行者（E0015）は承認者とは異なる者が担当する（職務分離）。","承認のない支払・二重支払・誤振込の発生。","12"
"PLC-P-007","期末時点のSAP未払計上明細（全87件）を検証し、検収済・請求書未着取引の未払計上が網羅的に行われていることを確認する。","期末日前後5営業日の検収実績のうち請求書未到着分について、経理部課長（E0012）が個別に業者への照会を行い、経理部長（E0011）承認のもと未払費用計上仕訳を起票する。","期末時点で検収済みだが請求書未到着の取引について、未払計上が漏れる（負債計上漏れ）。","87"
"PLC-I-001","SAP MI07棚卸差異一覧を閲覧し、半期2回の実地棚卸が倉庫別に実施され、差異が記録されていることを確認する。棚卸写真で実施状況を補完確認する。","年2回（9月・3月）の実地棚卸を全社横断チームで実施。棚卸計画書に基づき、倉庫区画ごとに2名体制で計数し、棚卸票に記録する。経理部（E0012）が立会・検証を行う。","実地棚卸の不適切な実施（手順違反・抽出偏り）による在庫残高の実在性・網羅性の検証漏れ。","2"
"PLC-I-002","SAP MIGO棚卸差異調整仕訳（全24件）を検証し、各差異について調整仕訳が適切に起票されていることを確認する。","棚卸差異（±1%以上または10万円以上）について、倉庫課長（E0043）が原因分析を実施し、差異分析書を経理部長（E0011）へ提出。経理部長承認後、SAPで数量調整仕訳を起票する。","実地棚卸で発見された帳簿と実地の差異について、原因分析・報告が不十分で、適切な会計処理が行われない。","24"
"PLC-I-003","標準原価更新稟議（年1回）の原本を閲覧し、承認経路（経理部長→CFO）が適切であることを確認する。","標準原価は年1回（期首）更新し、経理部課長（E0013）が試算→経理部長（E0011）→CFO（E0002）と承認ルートを経てSAPに登録する。期中の大幅な材料費変動時は都度見直す。","標準原価の更新遅延による実際原価との乖離拡大、原価差異分析の無効化。","1"
"PLC-I-004","SAP CO88原価差異レポートを3四半期分閲覧し、材料費・労務費・製造間接費・外注加工費の差異分析が実施されていることを確認する。","月次で経理部課長（E0013）が原価差異レポートを作成し、差異原因を材料・労務・製造間接費に分解。重要差異（±5%以上）は製造本部長（E0041）と協議し、翌月の標準原価への反映要否を判断する。","原価差異（価格差異・数量差異・能率差異等）の分析不備による製造原価の不適切な配賦。","3"
"PLC-I-005","SAP MB52滞留在庫評価損計算結果を4四半期分閲覧し、回転期間基準（12/18/24ヶ月超）に基づく評価損計算の正確性を検証する。","四半期末に経理部課長（E0012）が在庫回転期間別の滞留在庫リスト（12ヶ月超・24ヶ月超・36ヶ月超）を作成し、規程に定める評価率（50%/80%/100%）に基づき評価損を計算。経理部長（E0011）承認により計上。","滞留在庫の評価損計上漏れによる棚卸資産の過大評価。","4"
"PLC-I-006","WMS-SAP在庫照合レポートから25日分を抽出し、日次の在庫数量一致（または差異是正）を検証する。","倉庫課担当がWMSとSAPの在庫データを日次で自動照合（IFX夜間バッチ）し、差異明細を翌日確認。差異発生時は倉庫課長（E0043）が原因調査し、システム間で再同期を実施。","WMS（倉庫管理システム）とSAP（ERP）間の在庫数量の不一致。","25"
"PLC-I-007","SAP MMPV期末処理ログを12ヶ月分閲覧し、MM/CO/FIの各モジュール別ステップが毎月完了していることを確認する。","経理部課長（E0013）が月次締めチェックリスト（製造指図完了・投入実績確定・差異配賦・実際原価計算）を実行し、経理部長（E0011）が承認後SAPで月次締めを実行。","月次原価計算の締め処理漏れ・不適切な締めによる月次決算の誤り。","12"
"ITGC-AC-001","SAP SU01ユーザ作成履歴から25件を抽出し、各登録のワークフロー承認履歴・申請書原本を突合する。SoDチェック結果を確認する。","新規ユーザ登録は、所属部門長の申請→情シス部アプリチームリーダー（E0053）承認→情シス部担当（E0054）の登録という3段階プロセスをワークフロー（S04）で実施。ロール付与はSoDマトリクスに基づき判定される。","承認なしでのユーザ登録による職務分掌違反・不正アクセス。","25"
"ITGC-AC-002","SAP SUIMアクティブユーザ一覧を4四半期分取得し、各四半期に棚卸が実施されアクセス権の見直しが行われたことを確認する。","情シス部が四半期ごとにSAPユーザ権限一覧（SUIMレポート）を出力し、各部門長に配布。部門長が必要性を確認し、不要権限の削除を申請する。情シス部長（E0051）が棚卸完了を承認する。","退職・異動後の不要権限の放置による職務分掌違反・不正アクセスの温床。","4"
"ITGC-AC-003","退職者5名（全数）のSAP SM20ログインログを閲覧し、退職日以降のログインがないことを確認する。停止処理の適時性を検証する。","人事部（E0061）が退職決定時に、退職日の3営業日前までに情シス部（E0054）へアカウント停止依頼を送付。情シス部が退職日当日にSAPユーザをロックし、90日後に削除する。","退職者のアカウントが停止されず、不正アクセス・情報漏洩が発生するリスク。","5"
"ITGC-AC-004","SAP SM20特権IDの操作ログを12ヶ月分閲覧し、不正な操作がないことを確認する。","特権ID（BASIS等）の使用は申請・承認制とし、全操作ログを情シス部長（E0051）が月次レビュー。特権ID保有者は情シス部2名（E0051/E0052）に限定する。","特権IDの濫用によるシステム改竄・データ漏洩。","12"
"ITGC-CM-001","変更管理台帳から25件を抽出し、各変更の申請書原本・承認記録を検証する。","SAPのプログラム変更は、変更申請書（REL番号）をワークフロー（S04）で起票し、情シス部アプリチームリーダー（E0053）と業務部門責任者の両方の承認を得る。承認なしでの開発・移送は禁止。","未承認のプログラム変更による計算誤り・データ破壊。","25"
"ITGC-CM-002","25件の変更に対応するUATテスト結果（個別Excel）およびXrayテスト実行履歴を閲覧し、テストケースが実施・合格していることを検証する。","変更のリリース前に、開発環境→テスト環境での単体テスト・結合テスト・UAT（ユーザ受入テスト）の3段階テストを実施し、ユーザ部門の合格署名を得る。緊急変更時は別途緊急変更手順に従う。","テスト不備のあるプログラムの本番リリースによる業務停止・データ不整合。","25"
"ITGC-CM-003","SAP STMS本番移送履歴から25件を抽出し、各移送が承認済みの変更申請に紐づいていることを検証する。","本番移送（Transport）の実行権限は情シス部アプリチームリーダー（E0053）のみに付与し、移送実行時は変更申請書の承認を確認する。移送ログはSAP STMSで保持。","不正な本番移送による計算誤り・データ改竄。","25"
"ITGC-EM-001","外部委託先2社のSOC1 Type IIレポート原本を閲覧し、統制目標の有効性評価結果および例外事項を確認する。","重要な外部委託先（ERP保守SIer A社、インフラ保守B社）について、年1回SOC1レポート（SSAE18）を入手し、情シス部長（E0051）がコントロール有効性を評価。課題発見時は委託先と改善計画を協議する。","外部委託先の内部統制不備に起因するデータ漏洩・品質不良。","2"
"ITGC-OM-001","SAP DB13バックアップログから25日分を抽出し、各コンポーネント（DATA/LOG/CATALOG）のバックアップが正常完了していることを検証する。DRテスト報告書でリストア可能性を確認する。","毎日深夜1:00にSAP HANAのフルバックアップを実施（テープ＋クラウド二重化）。情シス部インフラチーム（E0052）が翌朝ジョブ実行ログを確認し、異常時はエスカレーション。四半期に1回復旧テストを実施。","データ喪失時の復旧不能、業務停止の長期化。","25"
"ITGC-OM-002","Zabbixインシデントログ（全18件）のタイムラインを検証し、検知→通知→対応→解決→クローズの各フェーズが適切に記録されていることを確認する。","監視ツール（Zabbix相当）がサーバ・DB・アプリの異常を検知すると、情シス部インフラチーム（E0052）にアラート。障害は障害管理台帳に記録し、原因究明・再発防止策を情シス部長（E0051）がレビューする。","システム障害の未検知・対応遅延による業務停止・データ不整合。","18"
"ITAC-001","SAP OVAK与信チェック設定画面を確認し、与信限度超過時の自動保留が設計通りであることを検証する。ITGCの変更管理（CM）が有効であることを前提とする。","SAPでは受注登録時に顧客マスタの与信限度額と既存売掛金+新規受注合計を自動比較し、超過時は受注が保留となり、営業本部長（E0021）のワークフロー承認がない限り出荷指示に進めない仕様。","与信限度額を超過する受注が営業担当により登録される。","5"
"ITAC-002","SAP OMRK 3-wayマッチング設定および月次実行ログを閲覧し、公差設定と自動保留機能が設計通りであることを検証する。","SAPは請求書入力時に発注書(PO)と検収伝票(GR)を自動参照し、金額・数量差異が公差（±5%または¥10,000）を超える場合は計上保留とする。差異は経理部担当（E0016）が原因調査。","発注・検収・請求書の3点が一致しない取引の買掛金計上。","3"
"ITAC-003","SAP AFAB減価償却バッチの実行画面および結果を確認し、自動計算が設計通りであることを検証する。手計算との再実施による突合を行う。","SAP固定資産モジュール（AA）が月次バッチ（AFAB）で資産ごとに定額法/定率法により自動計算し、仕訳を自動起票。資産取得時に耐用年数・償却方法が自動セットされる（勘定科目クラスルール）。","固定資産の減価償却計算誤り（計算基準・耐用年数・残存価額）。","3"
"ITAC-004","ワークフロー承認履歴（購買・変更管理）を閲覧し、金額に応じた承認ルーティングが自動判定されていることを検証する。","SAPワークフローは申請金額を自動判定し、承認者ルーティング（50万/500万/2,000万/1億円の閾値）を自動設定する。閾値設定の変更は変更管理プロセス（ITGC-CM）経由のみ。","発注・稟議の承認ルーティングが金額に応じて適切に判定されない。","5"
"ITAC-005","連結システムのパッケージアップロードログを閲覧し、バリデーションエラー検知機能が機能していることを確認する。","連結決算システム（S05）が子会社アップロード時にフォーマット・勘定科目マスタ・内部取引額の整合性を自動検証し、エラー時はアップロード拒否。エラーログを経理部（E0012）が確認。","子会社からの連結パッケージ取込時のデータ整合性エラー。","2"
"FCRP-001","SAP期末処理ジョブログを12ヶ月分閲覧し、FI/CO/MM各モジュールの月次締めステップが完了していることを検証する。","経理部課長（E0012）が月次決算チェックリスト（45項目）を使い、期日管理・承認・レビューを実施。経理部長（E0011）が月次決算完了を承認する。","月次決算のスケジュール遅延・ステップ漏れによる月次財務報告の誤り。","12"
"FCRP-002","連結システムのパッケージ受信ログを4四半期分閲覧し、各子会社パッケージの受領・バリデーション通過を確認する。","経理部課長（E0012）が各子会社（東北/物流/タイ/TPT）からアップロードされた連結パッケージを連結決算システム（S05）のバリデーションレポートでチェックし、差異について子会社担当者と往復確認する。","子会社からの連結パッケージの入力誤り・遅延による連結財務諸表の誤り。","4"
"FCRP-003","SAP FB10N売掛金データおよび引当金算定データを4四半期分閲覧し、一般債権（実績率法）・個別債権の引当計算の正確性を検証する。根拠資料の有無を確認する。","四半期末に経理部課長（E0012）が5種の会計上見積りシートを作成し、経理部長（E0011）→CFO（E0002）→監査等委員会でレビュー。前提となる外部情報・内部情報の根拠を添付。","重要な会計上の見積り（貸倒引当金・棚卸評価損・減損・税効果・退給）の仮定の不適切な設定による利益操作の懸念。","4"
"FCRP-004","連結システムの仕訳一覧を4四半期分閲覧し、投資相殺・内部取引消去・少数株主損益等の連結仕訳が適切に計上されていることを検証する。","連結決算システム（S05）で自動起票された連結仕訳について、経理部課長（E0012）がレビューし、経理部長（E0011）が承認。非定型の連結仕訳は個別に検討・文書化する。","内部取引消去・投資と資本の相殺などの連結仕訳の誤り・漏れ。","4"
"FCRP-005","開示システムのXBRL検証ログを4四半期分閲覧し、開示書類のバリデーションが正常通過していることを確認する。","経営企画部（E0003）が開示システム（S06）で書類を作成し、経理部長（E0011）→CFO（E0002）→監査等委員会→取締役会と3段階レビューを実施。前期比較やXBRLタグの整合性を確認する。","有価証券報告書・短信・適時開示書類の記載誤り・添付資料の不備。","4"
